!ALA_ASP_M_RXN_ASPT	:	asp_L_c -> fum_c + nh4_c	! LEFT-TO-RIGHT	! C4H6NO4 -> C4H2O4 + H4N	! -1 -> -2 + 1	! L-aspartase	! Alanine and Aspartate Metabolism	! b4139	! aspA
ALT_CABON_M_RXN_HEX4	:	man_c + atp_c -> man6p_c + adp_c + h_c	! LEFT-TO-RIGHT	! C6H12O6 + C10H12N5O13P3 -> C6H11O9P + C10H12N5O10P2 + H	! 0 + -4 -> -2 + -3 + 1	! hexokinase (D-mannose:ATP)	! Alternate Carbon Metabolism	! Unknown	! Unknown
ALT_CABON_M_RXN_HEX7	:	atp_c + fru_c -> adp_c + f6p_c + h_c	! LEFT-TO-RIGHT	! C10H12N5O13P3 + C6H12O6 -> C10H12N5O10P2 + C6H11O9P + H	! -4 + 0 -> -3 + -2 + 1	! hexokinase (D-fructose:ATP)	! Alternate Carbon Metabolism	! b0394	! mak
ALT_CABON_M_RXN_HPYRI	:	hpyr_c <-> 2h3oppan_c	! REVERSIBLE	! C3H3O4 <-> C3H3O4	! -1 <-> -1	! hydroxypyruvate isomerase	! Alternate Carbon Metabolism	! b0508	! hyi
ALT_CABON_M_RXN_HXCT	:	hxa_c + accoa_c <-> ac_c + hxcoa_c	! LEFT-TO-RIGHT	! C6H11O2 + C23H34N7O17P3S -> C2H3O2 + C27H42N7O17P3S	! -1 + -4 -> -1 + -4	! Acetyl-CoA:hexanoate-CoA transferase	! Alternate Carbon Metabolism	! b2221&b2222	! atoD&atoA
ALT_CABON_M_RXN_IDOND	:	h_c + nadh_c + 5dglcn_c <-> idon_L_c + nad_c	! REVERSIBLE	! H + C21H27N7O14P2 + C6H9O7 <-> C6H11O7 + C21H26N7O14P2	! 1 + -2 + -1 <-> -1 + -1	! L-idonate 5-dehydrogenase	! Alternate Carbon Metabolism	! b4267	! idnD
ALT_CABON_M_RXN_LCADi	:	h2o_c + lald_L_c + nad_c -> nadh_c + 2.0 * h_c + lac_L_c	! LEFT-TO-RIGHT	! H2O + C3H6O2 + C21H26N7O14P2 -> C21H27N7O14P2 + 2.0 * H + C3H5O3	! 0 + 0 + -1 -> -2 + 2.0 * 1 + -1	! lactaldehyde dehydrogenase	! Alternate Carbon Metabolism	! b1415	! aldA
ALT_CABON_M_RXN_LCARS	:	nadh_c + lald_L_c + h_c <-> 12ppd_S_c + nad_c	! REVERSIBLE	! C21H27N7O14P2 + C3H6O2 + H <-> C3H8O2 + C21H26N7O14P2	! -2 + 0 + 1 <-> 0 + -1	! lacaldehyde reductase (S-propane-1,2-diol forming)	! Alternate Carbon Metabolism	! b2799	! fucO
ALT_CABON_M_RXN_MAN6PI	:	man6p_c <-> f6p_c	! REVERSIBLE	! C6H11O9P <-> C6H11O9P	! -2 <-> -2	! mannose-6-phosphate isomerase	! Alternate Carbon Metabolism	! b1613	! manA
ALT_CABON_M_RXN_MCITD	:	2mcit_c -> h2o_c + 2mcacn_c	! LEFT-TO-RIGHT	! C7H7O7 -> H2O + C7H5O6	! -3 -> 0 + -3	! 2-methylcitrate dehydratase	! Alternate Carbon Metabolism	! b0334	! prpD
ALT_CABON_M_RXN_MCITL2	:	micit_c <-> succ_c + pyr_c	! REVERSIBLE	! C7H7O7 <-> C4H4O4 + C3H3O3	! -3 <-> -2 + -1	! methylisocitrate lyase	! Alternate Carbon Metabolism	! b0331	! prpB
ALT_CABON_M_RXN_MCITS	:	ppcoa_c + oaa_c + h2o_c -> coa_c + 2mcit_c + h_c	! LEFT-TO-RIGHT	! C24H36N7O17P3S + C4H2O5 + H2O -> C21H32N7O16P3S + C7H7O7 + H	! -4 + -2 + 0 -> -4 + -3 + 1	! 2-methylcitrate synthase	! Alternate Carbon Metabolism	! b0333	! prpC
ALT_CABON_M_RXN_MICITDr	:	2mcacn_c + h2o_c <-> micit_c	! REVERSIBLE	! C7H5O6 + H2O <-> C7H7O7	! -3 + 0 <-> -3	! 2-methylisocitrate dehydratase	! Alternate Carbon Metabolism	! b0118	! acnB
ALT_CABON_M_RXN_MLTG3	:	maltpt_c + h2o_c -> glc_D_c + maltttr_c	! LEFT-TO-RIGHT	! C30H52O26 + H2O -> C6H12O6 + C24H42O21	! 0 + 0 -> 0 + 0	! Maltodextrin glucosidase (maltopentaose)	! Alternate Carbon Metabolism	! b0403	! malZ
